gene_id	arf19_T06_A	arf19_T06_B	arf19_T09_A	arf19_T09_B	arf19_T12_A	arf19_T12_B	arf19_T15_A	arf19_T15_B	arf19_T18_A	arf19_T18_B	arf19_T21_A	arf19_T21_B
AT1G30490	183.8893333141835	210.9526920616141	214.98397931721658	206.375349660875	170.69590947896523	206.61030542175027	203.77461626992832	212.7385614130122	270.9695275919551	252.78705542566865	297.81985368692796	286.84514763092767
AT1G31320	64.06467096107038	38.8211551363387	59.961518040856326	63.09189261061036	95.58970930822053	116.31394971891126	124.30251592465626	134.7715493768297	209.20441468496531	258.73498614156676	330.2621035438918	230.39770894050415
AT1G32240	41.523397845138206	75.4448863970356	33.63694914487062	48.35079620626214	24.580210964970995	35.200274257038934	45.50966430028399	50.12165059468874	40.84467143849323	50.55741108513373	48.01452978830646	24.191759438752936
AT1G47870	138.80678708231915	150.15729816885727	150.6350331270293	149.76953946817784	219.85633140890724	162.22735092374467	206.49161115352734	228.3319638202487	240.0869711384602	231.96929792002535	185.5696691818331	196.99004114413106
AT1G51190	45.082546231864335	38.088680511124764	32.17447309509364	15.920384116696072	16.386807309980664	3.0608934136555597	12.226476976195698	11.138144576597497	0	4.956608929915072	20.76303990845685	1.1519885447025207
AT1G51950	219.4808171814448	255.6336441996643	267.633117109188	329.02127174505216	311.3493388896326	296.9066611245893	253.35977289561086	269.5430987536594	250.04908612345855	276.578778289261	190.7604291589473	279.9332163627125
AT1G52150	718.9479741186786	676.0740790724647	747.3252614360385	814.2981653761954	595.3873322626307	697.8836983134676	623.5503257859806	631.5327974930781	677.4238189798878	571.0013487262163	579.418582445374	734.9686915202083
AT1G53700	32.03233548053519	52.738173015403525	30.711997045316654	41.86471378834893	19.117941861644105	4.5913401204833395	10.867979534396177	8.910515661277998	0	0	9.732674957089149	1.1519885447025207
AT1G54990	396.251853722176	517.1270854010401	501.62928507350534	449.30861840453355	540.7646412293618	465.25579887564504	500.60630730312386	464.46062884411566	470.2118272919221	517.4699722831335	487.931437848736	479.22723459624865
AT1G59750	545.7360859646735	483.433252641199	546.9660426165918	608.5124595714942	507.99102660940054	610.6482360242842	664.3052490399663	652.6952721886133	700.336683445384	687.977319472212	651.4403771278337	834.0397063646251
AT1G63650	43.89616343628896	67.38766551968229	36.56190124442459	15.330740260522143	9.558970930822053	7.652233534138899	20.37746162699283	24.503918068514494	2.9886344954995048	7.930574287864115	28.549179874128168	0
AT1G64000	1.1863827955753772	5.127322376497565	46.79923359286347	46.58186463774035	81.93403654990331	151.51422397595022	271.02023963900467	226.1043349049292	285.9127000694526	374.71963510157946	273.8125887927747	483.8351887750587
AT1G65380	85.41956128142716	53.470647640617464	65.81142223996426	71.93655045321928	92.85857475655709	82.64412216870011	91.69857732146774	80.19464095150198	91.65145786198481	73.35781216274306	94.73136958233438	112.89487738084703
AT1G67105	28.473187093809056	4.394847751283627	7.312380248884917	12.972164835826428	25.945778240802717	16.834913775105576	12.905725697095459	13.365773491916997	7.969691987998679	22.80040107760933	35.03762984552093	13.82386253643025
AT1G68880	102.02892041948245	154.55214592014087	323.20720700071337	344.9416558617482	614.5052741242748	526.4736671487562	846.3439062411022	911.1002263656753	1156.6015497583082	1272.8571732021906	1221.7751296132578	814.4559011046822
AT1G70210	279.98633975578906	153.81967129492693	289.5702578558427	285.97727024435534	492.9697865752516	431.5859713254339	509.4365406748208	449.9810408945389	549.9087471719089	588.8451408739105	412.6654181805799	547.1945587336974
AT1G70940	871.9913547479023	876.0396517558696	915.5100071603916	837.8839196231525	880.7908929114607	812.6672013255511	847.023154962002	829.7917709565136	864.7115806978567	775.2136366387173	766.9347866186249	777.5922676742015
AT1G73590	416.42036124695744	366.96978723218285	368.54396454379986	397.41995906122787	450.6372010244682	414.7510575503283	440.15317114304514	461.1191854711364	515.0413447244147	490.7042840615921	524.2667576885354	413.56388754820495
AT1G74500	196.93954406551262	337.67080222362534	204.7466469687777	82.55013986435	132.46002575567704	10.713126947794459	63.849379764577535	63.487424086605735	0.9962114984998349	31.72229715145646	77.86139965671319	25.343747983455458
AT1G75820	543.3633203735228	461.45901388478086	463.60490777930374	628.5603506814078	600.8496013659576	552.4912611648285	464.60612509543654	493.41980474326914	536.957997691411	489.7129622756091	476.252227900229	608.249951602931
AT1G76420	0	0	0	0.5896438561739286	0	0	1.3584974417995221	0	0	0	3.2442249856963827	0
AT1G76540	163.72082578940206	143.56502654193181	315.8948267518284	192.2238971127007	430.1536918869924	411.69016413667276	471.39861230443415	446.63959752155966	658.4958005083909	600.7410023057067	561.8997675226135	552.95450145721
AT1G77690	1225.5334278293647	1658.3225514843552	1129.0315104278313	1352.643006062992	770.1799435690912	664.2138707632564	826.6456933350091	813.0845540916173	804.9388907878666	912.0160431043732	1218.5309046275613	828.2797636411125
AT1G77850	117.45189676196235	128.18305941243912	122.84798818126662	142.69381319409072	96.95527658405226	123.96618325305016	125.66101336645579	119.17814696959323	113.56811082898118	133.82844110770694	133.01322441355168	147.45453372192264
AT1G79580	43.89616343628896	46.14590138847808	24.862092846208718	13.561808692000357	4.096701827495166	6.121786827311119	11.547228255295938	13.365773491916997	0	10.904539645813157	22.060729902735403	6.911931268215125
AT1G79840	279.98633975578906	350.1228708522623	185.7344583216769	223.47502148991893	191.17941861644107	117.84439642573905	122.94401848285675	125.86103371555173	90.65524636348498	94.17556966838636	116.79209948506978	89.85510648679661
AT1G80100	3.559148386726132	9.522170127781191	1.4624760497769835	4.7171508493914285	10.924538206653775	3.0608934136555597	6.113238488097849	1.1138144576597497	3.9848459939993397	3.9652871439320574	7.137294968532042	2.3039770894050413
AT1G80370	93.7242408504548	95.22170127781192	80.43618273773409	60.143673329740714	71.00949834324953	84.1745688755279	76.755105461673	85.76371323980074	96.632515354483985	97.14953502633541	119.38747947362688	85.24715230798654
AT2G01420	575.395655854058	728.0797774626542	551.3534707659228	692.8315310043661	471.12071016194403	494.33428630537287	381.7377811456657	388.72124572325265	191.2726077119683	175.46395611899354	199.1954141217579	179.71021297359323
AT2G14878	218.2944343858694	249.04137257273885	239.8460721634253	196.35140410591822	296.32809885548363	307.61978807238376	281.20897045250103	340.8272240438834	374.5755234359379	377.69360045952845	431.4819230976189	460.7954178810083
AT2G14960	118.63827955753773	46.14590138847808	124.3104642310436	146.23167633113428	208.93179320225346	151.51422397595022	151.47246476064672	199.3727879210952	145.4468787809759	119.94993610394474	109.00595951939846	125.56675137257476
AT2G22490	360.6603698549147	386.7466021129592	397.7934855393395	409.2128361847064	374.1654335778918	474.43847911661175	480.9080943970308	407.6560915034684	516.0375562229144	527.3831901429636	506.74794276577495	498.8110398561915
AT2G23050	134.06125590001764	190.44340255562383	133.0853205297055	49.530083918609996	46.429287378278545	19.895807188761136	56.377643834680164	53.46309396766799	1.9924229969996698	27.757010007524404	54.50297975969923	16.12783962583529
AT2G23170	255.07230104870612	164.07431604792208	427.04300653487917	485.86653748731715	659.5689942267217	624.4222563857342	1061.6657507663265	1063.692807065061	1476.3854407767553	1423.5380846716087	832.4681313296918	1620.8478823964467
AT2G23380	457.9437590920956	512.7322376497565	453.36757543086486	389.7545889309668	326.3705789237815	391.79435694791164	357.96407591417403	390.9488746385722	351.6626589704417	380.6675658174775	308.85021863829564	324.86076960611086
AT2G25170	645.3922407930053	676.8065536976785	786.8121147800172	666.8872013327132	546.2269103326887	702.475038433951	758.0415725241332	709.4998095292606	838.810081736861	622.550081597333	739.6832967387753	875.5112939739158
AT2G26700	14.236593546904528	39.55362976155264	17.5497125973238	15.920384116696072	10.924538206653775	9.182680240966679	10.188730813496415	7.796701203618248	8.965903486498513	4.956608929915072	6.4884499713927655	9.215908357620165
AT2G27230	613.35990531247	608.6864135527824	595.2277522592323	587.8749246054068	494.3353538510833	581.5697485945564	619.4748334605821	584.7525902713686	626.6170325563961	657.2463441067385	683.8826269847975	640.5056308546016
AT2G30590	64.06467096107038	76.90983564746347	49.724185692417436	64.27118032295822	60.08496013659576	52.03518803214451	57.05689255557993	64.60123854426548	53.795420918991084	57.49666358701484	64.88449971392765	66.81533559274621
AT2G33310	495.9080085505077	432.89250350143726	503.0917611232823	601.4367332974072	614.5052741242748	653.500743815462	612.6823462515845	632.6466119507379	724.24575940938	662.2029530366536	626.7842672365412	672.7613101062722
AT2G34650	49.82807741416585	41.01857901198052	51.186661742194424	31.251124377218215	55.9882583091006	27.548040722900037	23.094456510591876	30.072990356813243	21.916652966996367	22.80040107760933	23.358419897013956	17.27982817053781
AT2G34655	35.59148386726132	62.99281776839865	17.5497125973238	38.32685065130536	6.82783637915861	10.713126947794459	8.830233371696893	8.910515661277998	1.9924229969996698	1.9826435719660287	2.5953799885571063	2.3039770894050413
AT2G34710	332.18718276110565	389.67650061381494	326.1321591002673	346.71058743027	350.9507898887525	345.88095574307823	385.1340247501645	417.6804216224062	423.3898868624298	444.11216012039046	521.6713776999784	457.33945224690075
AT2G36010	102.02892041948245	87.89695502567254	86.28608693684203	58.96438561739286	31.408047344129603	44.38295449800562	73.35886185717419	71.28412529022398	86.67040036948563	79.30574287864115	85.6475396223845	67.96732413744873
AT2G36930	209.98975481684178	222.6722860650371	214.98397931721658	179.2517322768743	226.68416778806582	162.22735092374467	232.30306254771827	216.08000478599146	207.21199168796565	249.81309006771963	299.1175436812065	211.96589222526381
AT2G38120	1659.7495310099528	1880.9948375493923	1667.2226967457611	1693.4571549315228	1478.9093597257547	1481.472412209291	1456.9885063299873	1398.9509588206456	1587.9611286087368	1473.1041739707593	1705.1646524820187	1450.3535777804736
AT2G39700	214.7352859991433	166.2717399235639	333.44453934915225	363.22061540314	636.3543505375824	599.9351090764897	930.5707476326726	964.5633203333433	1681.6050094677214	2068.888567346551	2396.8334194324875	1495.281131023872
AT2G42360	36.77786666283669	27.834035758129637	64.34894619018728	62.50224875443643	120.16992027319152	97.94858923697791	84.22684139157036	102.47093010469698	95.63630385598415	85.25367359453924	93.43367958805582	94.4630606656067
AT2G42430	128.12934192214075	77.6423102726774	99.44837138483487	122.05627822800321	126.99775665235013	125.49662995987795	104.6043030185632	114.72288913895423	124.52643731247936	150.6809114694182	163.5089392790977	138.2386253643025
AT2G42440	42.70978064071358	19.044340255562382	29.24952099553967	40.09578221982714	32.77361461996133	32.13938084338338	33.28318732408829	25.617732526174244	16.935595474497195	27.757010007524404	15.572279931342637	20.735793804645375
AT2G45420	47.455311823015094	36.62373126069689	70.1988503892952	53.6575909118275	60.08496013659576	64.27876168676676	67.9248720899761	64.60123854426548	67.74238189798878	52.54005465709976	66.83103470534549	36.86363343048066
AT2G46130	2.3727655911507544	4.394847751283627	23.399616796431737	30.071836664870357	40.967018274951656	82.64412216870011	131.77425185455363	135.88536383448948	161.38626275697325	172.4899907610445	147.28781435061578	194.68606405472602
AT2G47000	4596.046950059012	5449.611211591698	5469.660426165919	6021.4430592481585	5291.573193847922	5052.004579238501	4663.721717697759	4455.257830638999	4666.2546589732265	3717.456697436304	3205.2942858680262	4290.0053404721875
AT3G02260	1637.2082578940206	1750.6143542613115	1876.3567718638699	1745.3458142748286	1782.065294960397	1831.9447080728526	1887.6321953804359	1787.6722045438983	1984.453305011671	1811.1449029909672	1470.93160851474	2042.4756897575694
AT3G03315	11.863827955753774	6.592271626925441	7.312380248884917	12.382520979652499	12.290105482485497	6.121786827311119	6.79248720899761	8.910515661277998	10.958326483498183	12.887183217779187	15.572279931342637	4.607954178810083
AT3G11280	778.2671138974475	434.35745275186514	742.9378332867076	755.3337797588025	1015.9820532188011	1143.2436900003515	1238.9496669211642	1300.9352865465878	1792.184485801203	1739.7697344001901	2133.4023505939413	1491.8251653897644
AT3G12280	444.8935483407665	424.10280799887	506.0167132228363	495.8904830422739	565.3448521943328	625.9527030925619	637.1353002039758	579.1835179830699	730.223028400379	669.1422055385347	602.1281573452486	690.04113827681
AT3G12965	385.5744085619976	491.4904735185523	511.8666174219442	241.7539810313107	365.97202992290147	162.22735092374467	283.24671661520034	298.50227465281296	304.84071854094947	313.25768437063255	609.91429731092	188.9261213312134
AT3G14370	96.09700644160556	155.2846205453548	57.03656594130236	64.27118032295822	32.77361461996133	7.652233534138899	14.264223138894982	10.024330118937748	0.9962114984998349	9.913217859830144	11.030364951367702	4.607954178810083
AT3G15540	180.33018492745734	156.7495697957827	166.72226967457613	127.36307293356857	81.93403654990331	88.76590899601123	95.09482092596654	104.69855902001648	112.57189933048134	93.18424788240335	83.0521596338274	69.11931268215125
AT3G20840	81.86041289470103	49.808274514547776	30.711997045316654	20.6375349660875	25.945778240802717	7.652233534138899	27.16994883599044	17.821031322555996	4.981057492499175	9.913217859830144	34.388784848381654	14.97585108113277
