gene_id	lbd29_T06_A	lbd29_T06_B	lbd29_T09_A	lbd29_T09_B	lbd29_T12_A	lbd29_T12_B	lbd29_T15_A	lbd29_T15_B	lbd29_T18_A	lbd29_T18_B	lbd29_T21_A	lbd29_T21_B
AT2G14960	188.41798387561724	109.1178174886086	178.6520040184135	168.40020614599777	197.25907117297712	176.29256651858907	142.4339606920846	133.73892277095382	164.3796593401649	98.70512504932599	95.23823461251253	81.72315450566079
AT2G22490	492.1939170628369	480.50126648492557	493.64369531403725	509.7063095723344	500.364473219259	485.6361266361133	569.7358427683384	557.3789835244543	637.5938301679123	678.3194307901049	661.7415267041819	573.9626200165013
AT2G23050	124.33023425806036	144.53324948052543	106.95613398470807	95.7459366047479	16.037322859591637	60.981705399511945	33.91284778382967	40.842425516878116	12.453004495467038	11.874300757813652	4.92611558340582	32.309154106889146
AT2G23170	238.4064285773116	157.93368320719665	362.00537656362735	420.71890966909814	769.7914972603985	623.122153355013	1065.7112416068474	980.2182124050747	1725.9864230717315	1313.5945213331354	1044.336503682034	949.6357256122908
AT2G23380	538.3370967874778	513.0451769639843	466.61082628493523	424.66138941164655	375.27335491444427	454.59089479636174	401.0194250437858	420.4367332619806	419.66625149723916	422.27982069974803	367.81663022763456	401.6471314464259
AT2G25170	639.5957411832177	699.6940752997622	902.6627571456681	734.9908662893884	890.0714187073357	821.5898854734245	937.6902412228903	1004.2431685914736	750.9161710766623	857.9182297520364	952.3823461251252	999.6832388366877
AT2G26700	26.91685483937389	20.100650590006847	17.63013197550133	22.528455671705387	17.641055145550798	19.957649039840273	16.108602697319093	7.207486855919667	4.981201798186815	7.421437973633533	6.56815411120776	12.670256512505548
AT2G27230	570.3809715962562	670.0216863335615	665.2436465422502	675.290458759369	700.8310089641544	694.082683274445	706.2350550982528	719.9478537190868	697.3682517461541	800.7731573550582	755.3377227888924	866.0120326297542
AT2G30590	88.4410944722285	86.14564538574363	105.78079185300798	75.47032650021305	65.7530237243257	70.96052991943208	74.60826512442527	67.2698773219169	89.66163236736267	70.50366074951856	91.95415755690864	77.92207755190913
AT2G33310	522.9560368792642	514.0023508016037	524.2025907382396	646.5666777779446	578.947355231258	634.2097361549243	662.99617417387	619.8438696090914	697.3682517461541	682.0301497769217	743.8434530942789	620.8425691127718
AT2G34650	75.62354454871712	56.47325641954305	44.66300100460337	30.97662654859491	46.508236292815745	49.89412259960068	33.06502658923392	31.232443042318558	27.39660989002748	20.780026326173893	21.34650086142522	28.50807715313748
AT2G34655	23.07158986232048	41.158475017633066	15.279447712101152	11.827439227645328	4.811196857877491	3.3262748399733786	3.3912847783829667	0.800831872879963	0	2.968575189453413	3.28407705560388	0.6335128256252774
AT2G34710	420.4156374911732	402.01301180013695	372.58345574892815	370.5930957995536	433.00771720897416	400.2617390767966	479.018974946594	495.7149293126971	519.2902874609755	518.7585143569839	594.4179470643023	568.2610045858738
