gene_id	Col_T06_A	Col_T06_B	Col_T09_A	Col_T09_B	Col_T12_A	Col_T12_B	Col_T15_A	Col_T15_B	Col_T18_A	Col_T18_B	Col_T21_A	Col_T21_B	Col_T24_A	Col_T24_B	Col_T27_A	Col_T27_B	Col_T30_A	Col_T30_B	Col_T33_A	Col_T33_B	Col_T36_A	Col_T36_B	Col_T39_A	Col_T39_B	Col_T42_A	Col_T42_B	Col_T45_A	Col_T45_B	Col_T48_A	Col_T48_B
AT3G50630	713.4205764138629	606.3321100404935	568.6795461843024	620.685508211467	549.112332874868	457.880766746499	455.49569548645854	458.98807675896035	466.11008475385836	436.820631022589	416.2515871863779	410.171545600137	351.46481406904047	367.7935170780853	382.3800283064588	419.64628578132965	396.69197884374336	358.17922393574554	333.96887122416774	279.0184232302623	313.8996344532514	277.0835952455014	275.86670832158603	310.5062008641124	287.95422369621275	279.4574924208305	284.42393446623487	276.2021734525041	264.6331866834674	230.58907601426398
AT3G50870	14.403978383652815	26.67450907115538	22.393598709848174	14.36772009748766	7.863183764317919	8.4792734582685	8.324986601580182	5.986801001203831	4.812346007783199	7.350347156630104	7.406611871643735	11.917817305572987	15.812322923351514	16.450828239914358	23.21156721349111	23.65958287787912	22.740304519705035	27.98275186998012	42.79853181654251	20.47841638387246	61.14927943894508	57.28170478632961	48.44488536379072	42.94234692801554	77.27379167543937	50.39397404310058	86.36957172273101	53.11580258702002	77.47815731797334	71.08385050063777
AT3G54220	711.7259907216685	721.2376875777782	688.3085077132281	775.8568852643338	560.9071085213449	674.1022399323457	462.03675638770017	504.8868844348564	369.86316459819443	430.5203334597632	370.33059358218674	478.69899510718164	356.4960077264705	394.8198777579446	332.2919095826096	363.6104315968791	387.4274103357154	416.9430028627038	411.14655154908047	458.2045665891463	445.16675431552017	412.96112752935306	460.2264109560118	485.5788460321757	431.5668365269821	482.56047871575095	512.2609081486115	531.1580258702003	495.05523896679074	492.38569615075914
AT3G54610	284.6903962886674	243.14840961014713	351.2259166070924	313.216298125231	359.08539190385164	338.1110291484564	399.0047149757359	416.08266958366625	354.7386485737329	431.5703830535675	419.95489312219973	387.3290624311221	391.7143633284807	373.6688128780547	342.06520104092164	347.4222959435934	314.1530957722214	328.7973344722664	383.7835557975205	309.73604780607093	369.34164781122826	359.675820751372	345.8426538470615	327.02248814411837	277.7482512107773	331.37855658644924	312.71741485816403	309.8421817576168	346.1361833426342	334.614223088368
AT3G58190	53.37944930412513	29.752337040904077	43.019281732076756	56.03410838020188	72.73444981994075	49.81573156732743	57.08562241083554	49.89000834336526	69.43527811230044	54.602578877823625	60.734217347478626	52.63702643294736	48.87445267217741	48.17742555974919	42.758150130115204	47.31916575575824	26.951472023354114	53.16722855296223	42.09691654086148	43.51663481572898	45.658128647745656	30.639051397339095	45.75350284358012	14.314115642671847	29.888919421632206	32.068892572882184	23.08152347762639	15.934740776106008	26.161455717757235	34.67504902470135
AT3G58780	37.280885228277874	17.441025161909288	13.554020271750211	8.620632058492596	12.450040960170039	10.599091822835625	9.514270401805923	13.969202336142272	6.8747800111188555	4.2001983752172025	15.553884930451844	7.9452115370486585	8.62490341273719	10.575532439944944	6.10830716144503	4.980964816395604	8.42233500729816	11.193100747992048	16.838766616344593	15.358812287904344	8.15323725852601	10.657061355596207	20.185368901579466	12.111944005337717	14.579960693479125	10.689630857627394	16.38043601638002	17.705267529006676	22.13661637656381	17.337524512350676
AT3G61198	37.280885228277874	28.72639438432118	31.82248237715267	34.482528233970385	24.900081920340078	27.557638739372624	33.29994640632073	17.960403003611493	23.37425203780411	27.301289438911812	46.66165479135553	37.739754800981125	61.811807791283194	58.75295799969413	69.63470164047334	53.54537177625274	68.2209135591151	86.74653079693837	46.30660819494763	40.95683276774492	107.62273181254334	87.92075618366871	98.90830761773938	103.50206695470412	83.10577595283101	67.19196539080076	105.72826883299831	79.67370388053004	112.69550155341578	90.15512746422351
AT3G61830	57.61591353461126	31.80422235406988	72.48454319240331	63.21796842894571	103.53191956351927	99.63146313465487	126.06408282392849	125.72282102528045	189.05645030576852	155.40733988303649	192.57190866273712	194.65768265769213	183.9979394717267	207.98547131891723	190.5791834370849	181.80521579843955	205.50497417807512	201.47581346385687	225.21850349360892	204.7841638387246	207.90755009241326	202.48416575632794	218.00198413705823	186.083503354734	247.85933178914513	262.6595010731303	219.64675567418664	221.31584411258342	206.2730162361628	218.45280885561849
AT3G62980	1270.9392691458365	1326.5438549616888	1046.6060870707988	1156.6014678477568	1047.7692365953628	1160.6005546005008	964.5091619830755	1085.606581551628	995.4681456100102	959.7453287371306	900.6440035918781	907.7404181078092	886.2088256587463	970.5988661549471	994.4324058832508	864.1973956446373	976.1486273458569	957.0101139533201	919.1160111421423	1031.6002253375752	930.2843711978178	1047.0562781873273	934.5825801431292	1074.6597590190556	853.6566986032028	960.5396870639473	1011.8642066482021	1126.0550148448244	977.0297500747029	1041.9852231922755
AT3G63440	16.098564075847264	19.492910475075085	21.804293480641643	27.298668185226557	36.69485756681696	26.497729557089063	47.57135200902962	39.91200667469221	39.87372406448936	58.80277725304083	61.474878534643	43.69866345376762	53.186904378546004	55.22778051971249	53.75310302071626	54.790612980351646	58.11411155035731	44.77240299196819	63.14537481129222	43.51663481572898	51.365394728713866	51.95317410853151	56.519032924422504	64.96406330135684	63.422829016634196	59.55651477820977	57.331526057330066	63.73896310442403	57.35396061200624	57.21383089075722
